image_file_name,pmcid,rexinthewild_question,rexinthewild_gt_text,rexinthewild_choices,rexinthewild_answer,topic
10.1177_25158414211059247-fig6.jpg,PMC8855428,Which maneuver is being demonstrated to assess eyelid laxity?,Vertical upper eyelid distraction (hyperlaxity) test with ruler measurement,"[A] Lower eyelid snap-back test after inferior traction
[B] Levator function (levator excursion) measurement of the upper eyelid
[C] Lateral canthal distraction test assessing horizontal eyelid laxity
[D] MRD1 (marginal reflex distance 1) measurement of the upper lid using corneal light reflex and a ruler
[E] Vertical upper eyelid distraction (hyperlaxity) test with ruler measurement",E,Eyes
10.1177_25158414211059247-fig6.jpg,PMC8855428,"In the right subfigure, what is the distance between the eyelid margin and the pupil center?",19 mm,"[A] 17 mm
[B] 23 mm
[C] 21 mm
[D] 19 mm",D,Eyes
ijspt_2021_16_3_23549_59317.jpg,PMC8169025,"In subfigure B, which leg bears most weight?",Right leg (stance limb),"[A] Right leg (stance limb)
[B] Neither leg predominates—weight remains centered between the feet
[C] Both legs bear the load about equally
[D] Left leg (contralateral support due to trunk lean)",A,Trunk & Extremities
ijspt_2021_16_3_23549_59317.jpg,PMC8169025,Which subfigure shows the immediate push-off after landing?,C (immediate push-off after landing),"[A] A (take-off to the right)
[B] C (immediate push-off after landing)
[C] None of the above
[D] B (landing/weight acceptance on the right, beginning of propulsion)",B,Trunk & Extremities
SNI-7-165-g001.jpg,PMC4804399,Which procedure is this scar most consistent with?,Lateral approach for femoral shaft fracture fixation,"[A] Lateral parapatellar incision for tibial intramedullary nail entry near the patellar tendon
[B] Lateral approach for femoral shaft fracture fixation
[C] Longitudinal medial thigh incision for great saphenous vein stripping
[D] Direct lateral (Hardinge) approach for total hip arthroplasty
[E] Medial parapatellar approach for total knee arthroplasty",B,Surgical & Procedural
IJPS-46-581-g003.jpg,PMC3897109,How was the chest donor site covered?,Split-thickness skin graft,"[A] Supraclavicular fasciocutaneous advancement flap
[B] Split-thickness skin graft
[C] Left open to granulate under vacuum-assisted closure
[D] Primary closure after wide undermining of the right chest skin
[E] Full-thickness sheet skin graft harvested from the left groin",B,Trunk & Extremities
IJPS-46-581-g003.jpg,PMC3897109,Which flap extends from the chest toward the face?,Pedicled deltopectoral skin flap,"[A] Pedicled deltopectoral skin flap
[B] Latissimus dorsi musculocutaneous free flap
[C] Pedicled supraclavicular artery fasciocutaneous flap
[D] Free radial forearm flap
[E] Thoracoacromial artery–based pectoralis major myocutaneous island flap",A,Surgical & Procedural
ojad047f8.jpg,PMC10327876,"In subfigure D, how is the pretarsal fullness distributed?",Continuous from medial to lateral (crescent-like),"[A] Minimal fullness limited to the central third
[B] Continuous from medial to lateral (crescent-like)
[C] Segmental fullness with a central gap (bi-lobed)
[D] Predominantly medial with lateral tapering
[E] Predominantly lateral with central dip (comma-shaped)",B,Eyes
ojad047f8.jpg,PMC10327876,"In subfigures C and D, what change in lower eyelid contour is most evident?",Bilateral increase in pretarsal roll in D,"[A] Increased infraorbital hollowing in D with flatter pretarsal segment
[B] Bilateral increase in pretarsal roll in D
[C] Unilateral left-sided increase in pretarsal roll in D
[D] Greater inferior scleral show in D
[E] Bilateral decrease in pretarsal roll in D",B,Eyes
JFDS-10-143-g002.jpg,PMC6528542,What is the most likely purpose of the procedure shown?,Cheiloscopic recording of vermilion ridge patterns for forensic identification,"[A] Occlusive adhesive dressing applied for acute cheilitis
[B] Cheiloscopic recording of vermilion ridge patterns for forensic identification
[C] Patch testing for allergic contact cheilitis due to lipstick
[D] Tape-stripping to collect epithelial cells from the vermilion for cytology
[E] Temporary protective taping after minor lip laceration repair",B,Mouth & Jaws
